Domain,Feature,Intended behavior,Actual behavior,Implementation status,Verification evidence,Deployment status,Remaining work,Source references
Cross-cutting,Accessibility,Keyboard and screen-reader usable,Keyboard reachability and focus visibility are good: 30 of 30 tab stops reached with a visible focus indicator on every route probed. Colour contrast covered by verify:contrast. Screen-reader behaviour and semantic structure not examined.,partial,measured - keyboard/focus on 4 routes; contrast by verify:contrast,unverified,Screen-reader and semantic-structure pass,evidence/repro-ui-coverage.log; verify/verify-contrast.mts
Cross-cutting,Loading states,Skeletons while data loads,Implemented,complete,automated - verify:skeletons; verify-skeleton-runtime,unverified,None,src/app/(app)/**/loading.tsx
Cross-cutting,Dirty-form guards,Unsaved changes warn before navigation,Implemented,complete,automated - verify:dirty-form; verify-dirty-core 72/72,unverified,None,verify/verify-dirty-core.mjs
Cross-cutting,Confirm policy,Destructive actions confirm with correct bilingual copy,Implemented,complete,automated - verify:confirm-policy 62/62; verify-confirm-e2e 34/34,unverified,None,src/lib/confirm-policy.ts
Cross-cutting,Themes,Light and dark themes,Implemented,complete,automated - verify-color-theme; verify-dark-theme,unverified,None,src/lib/theme-actions.ts
Cross-cutting,Colour contrast,Accessible contrast ratios,Implemented,complete,automated - verify:contrast,unverified,None,verify/verify-contrast.mts
Cross-cutting,Global search,Search across records,Implemented,complete,source,unverified,Would be broken by naive PII encryption - see Security,src/app/(app)/search-actions.ts
Cross-cutting,Notifications,In-app notifications,Implemented,complete,source,unverified,None,src/app/(app)/notification-actions.ts
Cross-cutting,Dashboard personalization,User-configurable dashboard,Implemented,complete,source,unverified,None,src/app/(app)/dashboard/dashboard-prefs-actions.ts
Cross-cutting,Recycle bin and restore,Soft-deleted records restorable,Implemented across clients products vendors and documents,complete,automated - verify:edit-action,unverified,None,src/app/(app)/recycle-bin
Cross-cutting,Archive and restore,Archival distinct from deletion,Implemented,complete,automated - verify:edit-action,unverified,None,src/lib/document-lifecycle.ts
Cross-cutting,Permanent deletion rules,Permanent delete gated by the lifecycle matrix,Implemented,complete,automated - verify:edit-action; verify-delete-refusal,unverified,None,src/lib/document-lifecycle.ts
Cross-cutting,PDF generation,Documents printable as PDF,Implemented in-process with pdf-lib and chromium,complete,automated - verify-print-apply,unverified,puppeteer-core carries high-severity advisories,src/app/api/document-pdf/[type]/[id]/route.ts
Cross-cutting,Sidebar and navigation,Navigable shell with scroll handling,Implemented,complete,automated - verify-sidebar-scroll,unverified,None,verify/verify-sidebar-scroll.mjs
Cross-cutting,Background work,Long operations do not block requests,None exists - imports PDFs and exports run synchronously inside a request,deferred,source,unverified,Measure before deciding; no queue is recommended on current evidence,-
Scope,Expenses module,-,Excluded - remains a separate application by standing decision,excluded,automated - verify-expense-categories-hidden 16/16,not applicable,None,verify/verify-expense-categories-hidden.mjs
Scope,ZATCA Phase 2,-,Excluded by standing decision. Phase 1 QR on printed tax invoices implemented and honestly labelled,excluded,automated - verify-preset-zatca,not applicable,None unless requested,src/app/(app)/settings/compliance
Purchasing,Purchasing reports,Payables visible in reporting,Payable aging implemented,complete,automated - verify:statements,unverified,None,src/lib/finance-reports.ts:387
Security,Edge auth gate (src/proxy.ts),Protected routes are not rendered without a cryptographically valid session,Implemented. Next 16 renames middleware.ts to proxy.ts. Edge-safe jose signature+expiry check on every non-static protected route; clears a malformed cookie and redirects once to /login. Revocation is deliberately left to requireSession() server-side so no DB query is added per request.,complete,source - read in full,unverified,None,src/proxy.ts
Security,Security response headers,Baseline headers on every response,"Implemented in next.config.ts: strict CSP (default-src 'self', object-src 'none', frame-ancestors 'none'), HSTS with preload, X-Frame-Options DENY, nosniff, Referrer-Policy, Permissions-Policy. 'unsafe-eval' is dev-only.",complete,source - read in full,unverified,None,next.config.ts:12-31
Reporting,Bank reconciliation,Match ledger cash movements against a bank statement,"No such feature exists — no reconciliation module, table or screen.",missing,source - exhaustive search,unverified,Decide whether it is in scope,none found
Accounting core,Period close / period lock,Posting into a closed accounting period is prevented,No period control exists. orgs.fiscalYearStartMonth drives report DATE RANGES only; nothing prevents a journal entry being posted into any past period.,missing,source - traced,unverified,Decide whether a period lock is wanted,src/app/(app)/finance/reports/page.tsx:23 (fiscal is report-range only)
Sales documents,Sent-proforma revisions,"A sent proforma can be revised, with the revision tracked","Entirely absent, and separate from the project-attribution gap. Zero occurrences of revision/Revision in src/ or in any schema file — there is no revision number, no supersede link and no revision history for any document type.",missing,source - exhaustive search of src/ and src/db/schema/,unverified,"Design the revision model if wanted; it is a new feature, not an unfinished one",no revision column or code anywhere
Platform,Backup covers uploaded files,Backups include uploaded documents and branding assets,"scripts/backup.sh tars a LOCAL ./uploads directory that no longer exists — storage moved to Vercel Blob. Line 37 prints 'no uploads dir (skipping)' and the script EXITS SUCCESSFULLY, so uploaded files are not backed up and the run reports success. docs/security/backup-dr.md still describes uploads/ as the file backup.",defective,source - backup.sh and backup-dr.md read,unverified,"Back up Vercel Blob explicitly, or document that blob durability is the provider’s; correct backup-dr.md","scripts/backup.sh:21,34-37; docs/security/backup-dr.md:23,33"
Platform,Backup scheduling on the deployment target,Backups run automatically,"backup-dr.md schedules via cron/systemd-timer. The deployment target is Vercel, which has neither, and the document does not mention Neon’s own backup/PITR. There is no evidenced automatic backup in the actual environment.",unknown,source - read; deployment not reachable,unverified,"Confirm Neon backup/PITR tier and record it, or add a scheduled job",docs/security/backup-dr.md:37
